X;Y;Zgauss
2.50;3.50;17.63764
1.50;6.50;24.83680
1.50;11.50;26.85189
1.50;18.50;17.01859
4.50;22.50;15.55763
3.50;29.50;12.47647
1.50;30.50;9.92477
1.50;38.50;13.05437
1.50;41.50;16.45423
2.50;49.50;18.98550
9.50;4.50;10.17587
5.50;8.50;20.45413
8.50;14.50;10.73911
7.50;16.50;12.13013
9.50;22.50;6.84754
8.50;27.50;18.82780
9.50;33.50;20.38065
8.50;39.50;9.72747
8.50;43.50;11.34384
8.50;45.50;13.38801
14.50;1.50;8.07199
13.50;5.50;6.59106
10.50;14.50;10.00088
10.50;17.50;9.23965
10.50;23.50;9.01084
12.50;28.50;19.74712
13.50;31.50;22.05212
14.50;39.50;17.09181
14.50;42.50;15.51614
12.50;48.50;13.14943
19.50;0.50;12.48791
19.50;6.50;8.87068
15.50;12.50;15.61758
18.50;17.50;18.73268
16.50;22.50;13.26947
19.50;26.50;13.62103
18.50;34.50;17.38399
16.50;35.50;20.13661
15.50;42.50;16.31802
15.50;48.50;14.06394
21.50;3.50;8.65510
23.50;7.50;17.31401
24.50;12.50;15.03124
24.50;15.50;7.35916
21.50;23.50;14.35649
22.50;26.50;16.78674
22.50;34.50;20.99912
23.50;38.50;17.81387
21.50;42.50;15.88541
21.50;48.50;11.71847
29.50;4.50;17.51005
25.50;6.50;17.77211
25.50;12.50;14.03001
27.50;18.50;7.78627
28.50;22.50;14.69603
27.50;26.50;16.45894
25.50;31.50;20.32436
26.50;38.50;21.11387
25.50;42.50;16.76278
28.50;49.50;21.77201
34.50;4.50;13.92775
30.50;5.50;17.59664
32.50;13.50;12.63491
33.50;16.50;10.67564
31.50;21.50;15.83917
31.50;26.50;13.04374
32.50;33.50;18.11729
31.50;36.50;18.06327
32.50;44.50;23.40863
34.50;47.50;24.87326
37.50;1.50;12.73499
36.50;9.50;10.94691
39.50;10.50;12.66842
37.50;16.50;4.79811
38.50;24.50;9.02328
37.50;26.50;16.14060
36.50;30.50;25.76895
37.50;37.50;17.30405
36.50;43.50;16.17320
38.50;45.50;19.31395
40.50;4.50;13.54560
41.50;9.50;14.61163
40.50;14.50;9.37653
42.50;18.50;13.02245
44.50;21.50;15.43776
43.50;28.50;18.02566
40.50;31.50;20.70870
40.50;39.50;11.67304
41.50;40.50;9.73759
42.50;45.50;17.87687
47.50;0.50;18.70324
49.50;5.50;18.97322
49.50;14.50;19.85418
47.50;15.50;19.11592
45.50;22.50;15.33168
47.50;29.50;15.76524
47.50;32.50;20.71747
49.50;37.50;16.02905
47.50;40.50;12.62371
47.50;45.50;21.26241
