X;Y;Zgauss
1.50;2.50;17.43927399
2.50;6.50;24.26309852
1.50;8.50;26.499532
3.50;13.50;24.40893806
0.50;15.50;20.87854816
1.50;18.50;17.01858744
1.50;20.50;17.14576448
2.50;25.50;9.297348906
1.50;27.50;5.934978599
0.50;30.50;8.612969026
0.50;35.50;15.14696187
1.50;36.50;14.57401892
3.50;41.50;14.50333621
3.50;44.50;16.3648997
0.50;48.50;17.95625962
5.50;1.50;8.377844712
4.50;4.50;16.54391564
5.50;9.50;21.01800428
4.50;10.50;22.42975023
4.50;16.50;15.54379904
5.50;19.50;15.87153683
5.50;21.50;15.91781054
5.50;24.50;11.30904843
6.50;27.50;14.42768061
5.50;32.50;16.46365026
5.50;35.50;12.82286204
4.50;36.50;11.32299316
5.50;40.50;10.55409948
5.50;45.50;15.78833564
4.50;49.50;21.28267158
8.50;3.50;9.847097493
9.50;6.50;11.97134568
8.50;8.50;15.16545487
7.50;11.50;17.56599307
9.50;16.50;10.26495194
8.50;19.50;11.27401688
8.50;21.50;9.895829308
9.50;26.50;17.07713446
9.50;28.50;20.18281374
7.50;30.50;19.93421599
7.50;33.50;18.82181773
7.50;36.50;12.27910997
7.50;40.50;8.268860794
9.50;43.50;10.2825337
7.50;49.50;20.41315387
10.50;3.50;8.973209108
13.50;4.50;2.957256902
10.50;9.50;12.41901745
12.50;11.50;11.13859753
13.50;15.50;15.02196964
10.50;17.50;9.239645965
10.50;20.50;5.231045392
11.50;26.50;17.20982174
12.50;27.50;18.70911841
13.50;32.50;22.09049025
11.50;35.50;19.80392925
13.50;38.50;16.35082601
13.50;40.50;15.77909738
12.50;43.50;11.18176565
10.50;47.50;14.6351003
14.50;2.50;7.671023866
16.50;4.50;5.391760961
15.50;8.50;9.475740557
15.50;10.50;11.36459901
16.50;16.50;19.81107659
15.50;19.50;16.53445661
15.50;21.50;13.78029411
14.50;25.50;12.80098714
16.50;29.50;14.03971459
14.50;31.50;21.05605985
14.50;33.50;21.60117779
15.50;38.50;18.20997321
14.50;41.50;16.09407747
16.50;43.50;17.41913728
15.50;49.50;14.27069542
19.50;3.50;6.979152428
19.50;5.50;6.620950201
18.50;9.50;12.61810397
17.50;10.50;14.11226488
19.50;14.50;17.12121248
17.50;18.50;18.72089003
18.50;21.50;15.08218946
18.50;26.50;12.45928701
18.50;27.50;12.08778222
19.50;31.50;15.37781131
19.50;34.50;17.8663397
17.50;37.50;18.52352587
19.50;42.50;17.45944792
18.50;45.50;15.86228674
17.50;47.50;13.90329342
21.50;3.50;8.655102434
22.50;6.50;15.60374172
22.50;7.50;16.83956045
21.50;13.50;15.42853665
21.50;14.50;13.2331019
22.50;18.50;8.541434814
21.50;22.50;13.55568604
22.50;25.50;16.31333472
22.50;29.50;16.94090387
22.50;31.50;18.9793569
20.50;35.50;18.8819395
22.50;39.50;15.95022704
21.50;42.50;15.88541478
20.50;43.50;17.34894453
21.50;46.50;14.11708911
24.50;1.50;12.15420218
26.50;4.50;16.23851137
26.50;7.50;17.89797123
25.50;12.50;14.03001412
25.50;16.50;4.727838737
24.50;19.50;10.38646157
23.50;21.50;13.03310026
25.50;26.50;17.79818422
25.50;28.50;18.857822
25.50;31.50;20.32435893
24.50;35.50;22.60690883
25.50;36.50;21.29284571
26.50;42.50;18.93654723
26.50;45.50;16.52972874
24.50;47.50;12.37270392
29.50;1.50;17.20488263
29.50;6.50;17.86107868
29.50;7.50;17.82433738
28.50;10.50;13.53045098
29.50;15.50;7.509275599
28.50;17.50;6.163199202
29.50;20.50;13.41869666
28.50;26.50;15.64525021
28.50;28.50;15.92707021
27.50;30.50;18.90615033
29.50;34.50;17.51512254
28.50;39.50;23.64083638
27.50;40.50;23.15787374
29.50;43.50;23.4289162
27.50;47.50;18.58098255
32.50;1.50;17.11630764
32.50;4.50;16.41657358
32.50;9.50;14.85940176
31.50;10.50;14.58342642
31.50;14.50;10.01029144
30.50;18.50;10.8786918
32.50;22.50;14.99878691
31.50;25.50;13.22789486
32.50;29.50;17.4847185
31.50;31.50;16.5486468
31.50;35.50;17.44935627
31.50;37.50;18.9000888
31.50;40.50;22.92800692
31.50;44.50;23.92036399
30.50;48.50;26.20189046
34.50;0.50;15.24861079
35.50;6.50;10.90154445
33.50;7.50;14.37074907
35.50;12.50;13.29018987
35.50;14.50;10.97691358
35.50;18.50;11.48068829
33.50;20.50;15.05440522
33.50;26.50;14.88732178
35.50;29.50;24.629485
33.50;31.50;20.73504806
35.50;33.50;23.97010059
34.50;36.50;18.85180705
33.50;41.50;19.04104204
35.50;43.50;16.87326698
35.50;46.50;21.55701717
39.50;0.50;14.17005671
37.50;5.50;9.972517276
36.50;7.50;8.453309661
39.50;11.50;12.30263223
38.50;15.50;3.299857808
39.50;19.50;7.591371932
38.50;21.50;7.104139609
39.50;25.50;13.03842197
39.50;28.50;18.93045588
37.50;31.50;26.06841119
39.50;34.50;21.31327944
37.50;36.50;19.7967923
36.50;42.50;13.12839618
37.50;43.50;15.82530068
37.50;47.50;22.35887815
40.50;0.50;13.80005452
42.50;6.50;15.68215647
41.50;8.50;14.56460754
41.50;11.50;13.56576366
41.50;16.50;9.645505317
42.50;18.50;13.02244693
40.50;22.50;10.89393953
41.50;25.50;14.31840965
40.50;28.50;18.86986917
41.50;31.50;19.49236731
42.50;34.50;18.95485758
40.50;36.50;18.182601
41.50;40.50;9.737592255
40.50;44.50;17.28414916
41.50;47.50;21.51340782
43.50;2.50;12.47074979
44.50;5.50;15.89004154
44.50;8.50;19.52606937
44.50;13.50;18.64474545
44.50;16.50;14.97095076
43.50;17.50;12.95824434
45.50;22.50;15.33168463
43.50;25.50;14.64448365
44.50;29.50;18.37068454
44.50;30.50;19.02247005
44.50;33.50;19.24288483
43.50;36.50;15.76986025
45.50;40.50;11.03634567
45.50;43.50;16.10337661
44.50;46.50;20.9244802
48.50;0.50;19.39912039
49.50;4.50;19.83258132
49.50;9.50;21.53514469
46.50;10.50;22.31712453
48.50;15.50;19.43223726
48.50;17.50;19.12219841
49.50;22.50;16.21050397
47.50;25.50;14.5316366
48.50;29.50;15.80219522
46.50;32.50;20.77934054
46.50;33.50;20.64788925
47.50;38.50;13.75059376
48.50;42.50;15.85303813
48.50;44.50;18.92437053
48.50;48.50;21.90301729
