X;Y;Zgauss
6.50;0.50;2.75590
39.50;0.50;14.17006
15.50;1.50;11.04372
17.50;1.50;11.45361
20.50;1.50;10.12145
47.50;1.50;19.29448
11.50;2.50;8.88367
29.50;2.50;16.93122
40.50;2.50;13.97654
4.50;3.50;14.30888
26.50;3.50;14.91057
29.50;3.50;16.04297
31.50;3.50;16.39777
35.50;3.50;12.60688
40.50;3.50;13.66105
44.50;3.50;13.65605
46.50;3.50;16.30865
23.50;4.50;13.78524
32.50;4.50;16.41657
1.50;5.50;22.50231
2.50;5.50;21.66849
29.50;5.50;17.92972
44.50;5.50;15.89004
2.50;6.50;24.26310
29.50;6.50;17.86108
39.50;6.50;11.66651
41.50;6.50;14.74280
8.50;7.50;14.28980
9.50;7.50;13.00110
28.50;7.50;17.98822
30.50;7.50;17.64792
14.50;8.50;9.36533
25.50;8.50;18.06865
42.50;8.50;15.59452
45.50;8.50;20.08328
13.50;9.50;10.50450
27.50;9.50;15.64064
41.50;9.50;14.61163
43.50;9.50;16.39307
10.50;10.50;12.35525
2.50;11.50;26.13403
14.50;11.50;12.44781
24.50;11.50;16.63876
36.50;12.50;12.21398
37.50;12.50;11.22456
7.50;13.50;16.15457
36.50;13.50;11.23874
49.50;13.50;21.04651
34.50;15.50;10.86339
4.50;16.50;15.54380
41.50;16.50;9.64551
1.50;17.50;17.28912
3.50;18.50;16.82033
5.50;18.50;15.30400
16.50;18.50;18.50068
28.50;18.50;7.96823
31.50;18.50;12.90977
37.50;18.50;5.17457
2.50;19.50;16.85881
27.50;19.50;10.16685
31.50;19.50;14.63979
34.50;19.50;13.95705
42.50;19.50;13.40848
49.50;20.50;16.81073
37.50;21.50;7.61151
47.50;21.50;16.06619
14.50;22.50;10.40353
21.50;22.50;13.55569
33.50;22.50;14.60223
37.50;22.50;7.15244
7.50;23.50;10.41204
26.50;23.50;15.63603
39.50;23.50;8.22089
14.50;24.50;12.16620
21.50;24.50;14.70071
30.50;24.50;14.40398
31.50;24.50;13.73075
36.50;24.50;9.52967
49.50;24.50;15.27631
14.50;25.50;12.80099
28.50;25.50;15.95486
29.50;25.50;15.03587
45.50;26.50;14.16044
46.50;26.50;13.87388
6.50;27.50;14.42768
7.50;27.50;17.43424
27.50;27.50;17.38900
34.50;27.50;20.48719
35.50;27.50;20.69996
34.50;28.50;22.19512
46.50;28.50;14.83146
48.50;28.50;13.80992
35.50;29.50;24.62949
41.50;29.50;19.30096
47.50;29.50;15.76524
48.50;29.50;15.80220
18.50;30.50;13.92287
25.50;30.50;19.73302
36.50;30.50;25.76895
47.50;30.50;19.08460
30.50;31.50;15.70523
47.50;31.50;20.27667
9.50;32.50;20.58796
25.50;32.50;21.23222
5.50;35.50;12.82286
8.50;35.50;16.55811
14.50;35.50;20.65652
32.50;35.50;17.69430
36.50;35.50;21.14311
42.50;35.50;17.85582
46.50;35.50;18.29822
12.50;36.50;19.01629
16.50;36.50;19.19176
28.50;36.50;19.90496
49.50;36.50;16.95059
32.50;37.50;18.47790
36.50;37.50;17.32897
42.50;37.50;12.61249
2.50;38.50;12.34943
12.50;38.50;15.77448
46.50;38.50;13.05968
49.50;38.50;14.80349
24.50;39.50;17.52528
49.50;39.50;13.99601
22.50;40.50;15.40087
1.50;41.50;16.45423
4.50;41.50;12.88271
25.50;41.50;17.89269
28.50;41.50;24.07265
44.50;41.50;12.56179
3.50;42.50;15.46081
32.50;42.50;22.37292
39.50;42.50;12.88813
4.50;43.50;14.91522
28.50;43.50;22.41544
33.50;43.50;20.88769
9.50;44.50;11.51435
37.50;44.50;18.53498
41.50;44.50;16.40247
10.50;45.50;11.35077
22.50;45.50;14.41346
46.50;46.50;21.69123
47.50;46.50;22.28960
47.50;47.50;22.68394
11.50;48.50;13.01712
14.50;48.50;13.39825
24.50;48.50;11.76994
29.50;48.50;23.70791
41.50;48.50;22.38703
35.50;49.50;24.53241
