x;y;z
0;0;2070
200;0;2020
400;0;2040
600;0;1975
800;0;1920
1000;0;2020
1200;0;2100
0;200;2083
200;200;2095
400;200;2085
600;200;1995
800;200;1890
1000;200;2085
1200;200;2150
0;400;2135
200;400;2083
400;400;2035
600;400;2000
800;400;2040
1000;400;2130
1200;400;2105
0;600;2125
200;600;2080
400;600;2035
600;600;2095
800;600;2160
1000;600;2115
1200;600;2030
0;800;2020
200;800;2115
400;800;2070
600;800;2203
800;800;2200
1000;800;2080
1200;800;1980
0;1000;2110
200;1000;2130
400;1000;2165
600;1000;2240
800;1000;2200
1000;1000;2170
1200;1000;2120
0;1200;2190
200;1200;2243
400;1200;2165
600;1200;2075
800;1200;2040
1000;1200;2035
1200;1200;1970
