X;Y;Zgauss
6.50;6.50;16.22450
1.50;11.50;26.85189
3.50;19.50;16.96029
1.50;27.50;5.93498
5.50;31.50;16.37429
4.50;41.50;12.88271
3.50;43.50;15.85766
11.50;0.50;10.54587
13.50;11.50;11.20321
8.50;19.50;11.27402
7.50;24.50;10.42053
10.50;34.50;20.37257
10.50;35.50;19.04725
12.50;47.50;12.69068
16.50;6.50;6.70843
16.50;7.50;8.30041
14.50;19.50;14.50806
16.50;21.50;14.58813
14.50;29.50;18.11187
14.50;41.50;16.09408
20.50;43.50;17.34894
26.50;4.50;16.23851
24.50;9.50;18.59831
23.50;15.50;7.72926
22.50;26.50;16.78674
23.50;30.50;19.18540
25.50;36.50;21.29285
27.50;43.50;20.91525
29.50;4.50;17.51005
31.50;9.50;15.15621
34.50;15.50;10.86339
30.50;24.50;14.40398
33.50;34.50;19.37935
31.50;35.50;17.44936
28.50;49.50;21.77201
40.50;2.50;13.97654
39.50;7.50;10.93938
40.50;15.50;8.33163
40.50;24.50;11.84629
36.50;33.50;24.66276
39.50;36.50;19.07836
41.50;47.50;21.51341
42.50;4.50;14.84078
47.50;8.50;20.63068
45.50;15.50;16.19185
48.50;25.50;14.64917
47.50;31.50;20.27667
43.50;37.50;12.74603
44.50;44.50;16.98941
